,f_humidity,f_wind_speed,f_solar_irradiance,f_wind_dir
2022-06-22 00:00:00,,,,
2022-06-22 00:15:00,,,,
2022-06-22 00:30:00,,,,
2022-06-22 00:45:00,,,,
2022-06-22 01:00:00,,,,
2022-06-22 01:15:00,,,,
2022-06-22 01:30:00,,,,
2022-06-22 01:45:00,,,,
2022-06-22 02:00:00,,,,
2022-06-22 02:15:00,,,,
2022-06-22 02:30:00,,,,
2022-06-22 02:45:00,,,,
2022-06-22 03:00:00,,,,
2022-06-22 03:15:00,,,,
2022-06-22 03:30:00,,,,
2022-06-22 03:45:00,,,,
2022-06-22 04:00:00,,,,
2022-06-22 04:15:00,,,,
2022-06-22 04:30:00,,,,
2022-06-22 04:45:00,,,,
2022-06-22 05:00:00,,,,
2022-06-22 05:15:00,,,,
2022-06-22 05:30:00,,,,
2022-06-22 05:45:00,,,,
2022-06-22 06:00:00,,,,
2022-06-22 06:15:00,,,,
2022-06-22 06:30:00,,,,
2022-06-22 06:45:00,,,,
2022-06-22 07:00:00,,,,
2022-06-22 07:15:00,,,,
2022-06-22 07:30:00,,,,
2022-06-22 07:45:00,,,,
2022-06-22 08:00:00,,,,
2022-06-22 08:15:00,,,,
2022-06-22 08:30:00,,,,
2022-06-22 08:45:00,,,,
2022-06-22 09:00:00,,,,
2022-06-22 09:15:00,,,,
2022-06-22 09:30:00,,,,
2022-06-22 09:45:00,,,,
2022-06-22 10:00:00,,,,
2022-06-22 10:15:00,,,,
2022-06-22 10:30:00,,,,
2022-06-22 10:45:00,,,,
2022-06-22 11:00:00,,,,
2022-06-22 11:15:00,,,,
2022-06-22 11:30:00,,,,
2022-06-22 11:45:00,,,,
2022-06-22 12:00:00,,,,
2022-06-22 12:15:00,,,,
2022-06-22 12:30:00,,,,
2022-06-22 12:45:00,,,,
2022-06-22 13:00:00,,,,
2022-06-22 13:15:00,,,,
2022-06-22 13:30:00,,,,
2022-06-22 13:45:00,,,,
2022-06-22 14:00:00,,,,
2022-06-22 14:15:00,,,,
2022-06-22 14:30:00,,,,
2022-06-22 14:45:00,,,,
2022-06-22 15:00:00,,,,
2022-06-22 15:15:00,,,,
2022-06-22 15:30:00,,,,
2022-06-22 15:45:00,,,,
2022-06-22 16:00:00,,,,
2022-06-22 16:15:00,,,,
2022-06-22 16:30:00,,,,
2022-06-22 16:45:00,,,,
2022-06-22 17:00:00,,,,
2022-06-22 17:15:00,,,,
2022-06-22 17:30:00,,,,
2022-06-22 17:45:00,,,,
2022-06-22 18:00:00,,,,
2022-06-22 18:15:00,,,,
2022-06-22 18:30:00,,,,
2022-06-22 18:45:00,,,,
2022-06-22 19:00:00,,,,
2022-06-22 19:15:00,,,,
2022-06-22 19:30:00,,,,
2022-06-22 19:45:00,,,,
2022-06-22 20:00:00,,,,
2022-06-22 20:15:00,,,,
2022-06-22 20:30:00,,,,
2022-06-22 20:45:00,,,,
2022-06-22 21:00:00,,,,
2022-06-22 21:15:00,,,,
2022-06-22 21:30:00,,,,
2022-06-22 21:45:00,,,,
2022-06-22 22:00:00,,,,
2022-06-22 22:15:00,,,,
2022-06-22 22:30:00,,,,
2022-06-22 22:45:00,,,,
2022-06-22 23:00:00,,,,
2022-06-22 23:15:00,,,,
2022-06-22 23:30:00,,,,
2022-06-22 23:45:00,,,,
2022-06-23 00:00:00,73.8266830444336,3.5930299758911133,0.0,114.70877075195312
2022-06-23 00:15:00,74.75151062011719,3.6894421577453613,0.0,126.59459686279297
2022-06-23 00:30:00,75.04718017578125,3.7790746688842773,0.0,138.56582641601562
2022-06-23 00:45:00,76.17645263671875,3.510719060897827,0.0,130.22378540039062
2022-06-23 01:00:00,75.8635482788086,3.4295852184295654,0.0,139.14353942871094
2022-06-23 01:15:00,76.67717742919922,3.2504191398620605,0.0,179.91647338867188
